subj_locus	gene	clone_count	clone_freq	sample_id	subject_id	locus
SRR1383452_M4_IG	IGHV6	1	0.00141442715700141	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV6	1	0.00139275766016713	SRR1383453	M4	IG
SRR1383456_M4_IG	IGHV1	1	0.2	SRR1383456	M4	IG
SRR1383456_M4_IG	IGHV2	1	0.2	SRR1383456	M4	IG
SRR1383456_M4_IG	IGHV3	1	0.2	SRR1383456	M4	IG
SRR1383464_M5_IG	IGHV6	1	0.00142450142450142	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV6	1	0.000886524822695035	SRR1383465	M5	IG
SRR1383466_M5_IG	IGHV7	1	0.0588235294117647	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV6	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV7	1	0.0147058823529412	SRR1383467	M5	IG
SRR1383468_M5_IG	IGHV2	1	0.024390243902439	SRR1383468	M5	IG
SRR1383468_M5_IG	IGHV5	1	0.024390243902439	SRR1383468	M5	IG
SRR1383456_M4_IG	IGHV4	2	0.4	SRR1383456	M4	IG
SRR1383466_M5_IG	IGHV1	2	0.117647058823529	SRR1383466	M5	IG
SRR1383467_M5_IG	IGHV5	3	0.0441176470588235	SRR1383467	M5	IG
SRR1383463_M5_IG	IGHV6	4	0.00140449438202247	SRR1383463	M5	IG
SRR1383467_M5_IG	IGHV2	4	0.0588235294117647	SRR1383467	M5	IG
SRR1383451_M4_IG	IGHV6	5	0.00250878073256397	SRR1383451	M4	IG
SRR1383466_M5_IG	IGHV4	5	0.294117647058824	SRR1383466	M5	IG
SRR1383468_M5_IG	IGHV1	5	0.121951219512195	SRR1383468	M5	IG
SRR1383465_M5_IG	IGHV5	6	0.00531914893617021	SRR1383465	M5	IG
SRR1383468_M5_IG	IGHV4	8	0.195121951219512	SRR1383468	M5	IG
SRR1383464_M5_IG	IGHV5	9	0.0128205128205128	SRR1383464	M5	IG
SRR1383466_M5_IG	IGHV3	9	0.529411764705882	SRR1383466	M5	IG
SRR1383453_M4_IG	IGHV5	12	0.0167130919220056	SRR1383453	M4	IG
SRR1383467_M5_IG	IGHV4	14	0.205882352941176	SRR1383467	M5	IG
SRR1383467_M5_IG	IGHV1	15	0.220588235294118	SRR1383467	M5	IG
SRR1383452_M4_IG	IGHV5	16	0.0226308345120226	SRR1383452	M4	IG
SRR1383452_M4_IG	IGHV7	16	0.0226308345120226	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV7	20	0.0278551532033426	SRR1383453	M4	IG
SRR1383452_M4_IG	IGHV2	22	0.0311173974540311	SRR1383452	M4	IG
SRR1383468_M5_IG	IGHV3	26	0.634146341463415	SRR1383468	M5	IG
SRR1383463_M5_IG	IGHV5	27	0.00948033707865169	SRR1383463	M5	IG
SRR1383467_M5_IG	IGHV3	30	0.441176470588235	SRR1383467	M5	IG
SRR1383453_M4_IG	IGHV2	35	0.0487465181058496	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV2	36	0.0512820512820513	SRR1383464	M5	IG
SRR1383452_M4_IG	IGHV4	41	0.057991513437058	SRR1383452	M4	IG
SRR1383453_M4_IG	IGHV4	44	0.0612813370473538	SRR1383453	M4	IG
SRR1383451_M4_IG	IGHV7	47	0.0235825388861014	SRR1383451	M4	IG
SRR1383465_M5_IG	IGHV7	52	0.0460992907801418	SRR1383465	M5	IG
SRR1383465_M5_IG	IGHV2	63	0.0558510638297872	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV5	64	0.0321123933768189	SRR1383451	M4	IG
SRR1383464_M5_IG	IGHV7	74	0.105413105413105	SRR1383464	M5	IG
SRR1383451_M4_IG	IGHV2	77	0.0386352232814852	SRR1383451	M4	IG
SRR1383464_M5_IG	IGHV4	89	0.126780626780627	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV4	134	0.118794326241135	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV4	145	0.0727546412443552	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV7	148	0.0519662921348315	SRR1383463	M5	IG
SRR1383452_M4_IG	IGHV1	157	0.222065063649222	SRR1383452	M4	IG
SRR1383463_M5_IG	IGHV2	191	0.067064606741573	SRR1383463	M5	IG
SRR1383453_M4_IG	IGHV1	194	0.270194986072423	SRR1383453	M4	IG
SRR1383464_M5_IG	IGHV1	201	0.286324786324786	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3	292	0.415954415954416	SRR1383464	M5	IG
SRR1383465_M5_IG	IGHV1	310	0.274822695035461	SRR1383465	M5	IG
SRR1383463_M5_IG	IGHV4	402	0.141151685393258	SRR1383463	M5	IG
SRR1383453_M4_IG	IGHV3	412	0.573816155988858	SRR1383453	M4	IG
SRR1383452_M4_IG	IGHV3	454	0.642149929278642	SRR1383452	M4	IG
SRR1383451_M4_IG	IGHV1	497	0.249372804816859	SRR1383451	M4	IG
SRR1383465_M5_IG	IGHV3	562	0.49822695035461	SRR1383465	M5	IG
SRR1383463_M5_IG	IGHV1	798	0.280196629213483	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3	1158	0.581033617661816	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV3	1278	0.44873595505618	SRR1383463	M5	IG
