Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastqc_post_assembly-percent_duplicates	fastqc_post_assembly-percent_gc	fastqc_post_assembly-avg_sequence_length	fastqc_post_assembly-median_sequence_length	fastqc_post_assembly-percent_fails	fastqc_post_assembly-total_sequences
SRR1383451	0.16216	75.94	489.884998	2.5863359999999997	55.9581	100.0	0.6417572968090767						
SRR1383451_ASSEMBLED								82.68539466196616	55.0	343.11000152673876	342	30.0	0.072049
SRR1383452	0.048787899999999995	70.01180000000001	475.496961	2.721988	56.065	100.0	0.5313028565886404						
SRR1383452_ASSEMBLED								73.15948118377786	55.0	341.75520643039823	342	30.0	0.021896
SRR1383453	0.0368871	71.6922	379.591552	2.11998	56.057500000000005	100.0	0.2704742497570732						
SRR1383453_ASSEMBLED								72.68278987687002	55.0	341.07379777804516	342	30.0	0.024933
SRR1383456	6.12782	72.9362	22.087892	0.126146	58.4727	100.0	14.53078179252612						
SRR1383456_ASSEMBLED								60.58931860036832	56.0	275.5755064456722	264	40.0	0.000543
SRR1383463	0.071033	67.9718	629.457729	3.705322	55.3694	100.0	0.09823707629188502						
SRR1383463_ASSEMBLED								81.00084541848214	55.0	342.06767683336585	342	30.0	0.092262
SRR1383464	0.028093	61.7565	508.816741	3.2961959999999997	55.506	100.0	0.05460840314107535						
SRR1383464_ASSEMBLED								68.9627974234258	55.0	341.3314710135402	342	30.0	0.022820999999999998
SRR1383465	0.0334369	62.9814	668.4378479999999	4.2467999999999995	55.427899999999994	100.0	0.12593011208439295						
SRR1383465_ASSEMBLED								72.35613766197575	55.0	340.75240351121636	342	30.0	0.035885
SRR1383466	0.493703	64.5464	84.632021	0.5294679999999999	56.531299999999995	100.0	3.5122047035892634						
SRR1383466_ASSEMBLED								68.34532374100719	55.0	316.0230215827338	344	40.0	0.000695
SRR1383467	10.7185	76.8467	101.643774	0.530598	55.8422	100.0	0.937809791970569						
SRR1383467_ASSEMBLED								71.12727272727273	56.0	339.032	347	40.0	0.001375
SRR1383468	5.33466	72.815	167.500361	0.9223079999999999	55.70929999999999	100.0	0.7784818086799637						
SRR1383468_ASSEMBLED								81.11174134997164	55.0	337.33465683494046	347	40.0	0.001763
